"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"302",80,"8:54","NA","Drank coffee",58,"FALSE","FALSE","FALSE","LOW",534
"303",80,"8:56","NA","Drank coffee:Drank tea",64,"FALSE","FALSE","FALSE","HIGH",536
"304",65,"7:13","NA","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",433
"305",82,"8:01","NA","Drank coffee",61,"FALSE","FALSE","FALSE","LOW",481
"306",75,"6:56","NA","Drank coffee:Stressful day:Worked out",62,"TRUE","TRUE","FALSE","LOW",416
"307",66,"7:13","NA","Drank coffee:Worked out",57,"TRUE","FALSE","FALSE","LOW",433
"308",58,"7:26","NA","Drank coffee:Drank tea:Worked out",63,"TRUE","FALSE","FALSE","HIGH",446
"309",89,"7:42","NA","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",462
"310",86,"9:47","NA","Drank coffee",64,"FALSE","FALSE","FALSE","LOW",587
"311",67,"8:39","NA","Drank coffee",57,"FALSE","FALSE","FALSE","LOW",519
"312",62,"9:05","NA","Drank coffee",59,"FALSE","FALSE","FALSE","LOW",545
"313",81,"9:11","NA","Drank coffee:Worked out",59,"TRUE","FALSE","FALSE","LOW",551
"314",73,"6:55","NA","Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","FALSE","HIGH",415
"315",81,"8:00","NA","Ate late:Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","TRUE","HIGH",480
"316",53,"6:30","NA","Drank coffee:Drank tea:Worked out",64,"TRUE","FALSE","FALSE","HIGH",390
"317",94,"9:00","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",540
"318",67,"7:12","NA","Drank tea",58,"FALSE","FALSE","FALSE","LOW",432
"319",82,"7:19","NA","Drank coffee:Drank tea:Stressful day:Worked out",61,"TRUE","TRUE","FALSE","HIGH",439
"320",85,"7:33","NA","Drank coffee:Drank tea:Worked out",63,"TRUE","FALSE","FALSE","HIGH",453
"321",77,"7:45","NA","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",465
"322",94,"8:41","NA","Drank coffee:Drank tea:Stressful day:Worked out",60,"TRUE","TRUE","FALSE","HIGH",521
"323",81,"8:47","NA","Drank coffee:Drank tea",60,"FALSE","FALSE","FALSE","HIGH",527
"324",75,"8:52","NA","Drank coffee:Drank tea",63,"FALSE","FALSE","FALSE","HIGH",532
"325",79,"8:59","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",539
"326",81,"8:09","NA","Ate late:Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","TRUE","HIGH",489
"327",79,"7:40","NA","",57,"NA","NA","NA","NA",460
"328",9,"0:42","NA","",59,"NA","NA","NA","NA",42
"329",65,"7:07","NA","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",427
"330",81,"7:43","NA","Drank tea",58,"FALSE","FALSE","FALSE","LOW",463
"331",87,"7:31","NA","Ate late:Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","TRUE","HIGH",451
"332",74,"7:32","NA","Drank coffee:Drank tea:Worked out",57,"TRUE","FALSE","FALSE","HIGH",452
"333",92,"8:01","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",481
"334",95,"7:53","NA","Drank coffee:Drank tea:Worked out",59,"TRUE","FALSE","FALSE","HIGH",473
"335",81,"7:09","NA","Drank coffee:Drank tea:Worked out",62,"TRUE","FALSE","FALSE","HIGH",429
"336",95,"8:47","NA","Drank coffee:Worked out",58,"TRUE","FALSE","FALSE","LOW",527
"337",85,"8:29","NA","Drank coffee:Worked out",62,"TRUE","FALSE","FALSE","LOW",509
"338",79,"8:01","NA","Drank coffee:Worked out",58,"TRUE","FALSE","FALSE","LOW",481
"339",83,"8:13","NA","Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","FALSE","HIGH",493
"340",89,"7:54","NA","Ate late:Drank coffee",60,"FALSE","FALSE","TRUE","LOW",474
